Unique Transaction Identifier,Price,Date of Transaction,Postal Code,Property Type,Old/New,Duration,PAON,SAON,Street,Locality,Town/City,District,County,PPD Category Type,Record Status
{1061746E-BC2D-3C34-E063-4804A8C0F9E7},430000,2023-09-11,HP11 1FW,T,N,F,49,,CAROLINA DRIVE,,HIGH WYCOMBE,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,B,A
{1061746E-BC2E-3C34-E063-4804A8C0F9E7},437400,2023-12-15,HP18 0FL,S,N,F,22,,THE WARREN,,AYLESBURY,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,B,A
{1061746E-BC30-3C34-E063-4804A8C0F9E7},6855000,2023-05-26,HP21 8BD,O,N,F,ASDA STORES LTD,,MANDEVILLE ROAD,,AYLESBURY,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,B,A
{1061746E-BC31-3C34-E063-4804A8C0F9E7},127000,2023-10-04,HP20 2LB,F,N,L,12G,,BUCKINGHAM STREET,,AYLESBURY,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,B,A
{1061746E-BC32-3C34-E063-4804A8C0F9E7},210000,2023-12-18,HP18 0UE,F,N,L,51,,SIDDINGTON DRIVE,,AYLESBURY,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,B,A
{1061746E-BC34-3C34-E063-4804A8C0F9E7},350000,2023-11-10,HP18 0YW,T,N,F,5,,TYSON ROAD,,AYLESBURY,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,B,A
{1061746E-BC36-3C34-E063-4804A8C0F9E7},170000,2023-08-01,HP13 7DH,F,N,L,RECTORY COURT,3,COCK LANE,,HIGH WYCOMBE,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,B,A
{1061746E-BC37-3C34-E063-4804A8C0F9E7},508000,2023-05-31,HP11 1BF,S,N,F,23,,EAKER STREET,,HIGH WYCOMBE,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,B,A
{1061746E-BC38-3C34-E063-4804A8C0F9E7},525000,2023-09-07,SL9 0FE,O,N,L,9,,SELMAN WAY,CHALFONT ST PETER,GERRARDS CROSS,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,B,A
{1061746E-BC3A-3C34-E063-4804A8C0F9E7},1300000,2023-09-14,HP10 8AD,O,N,F,33,,HAZLEMERE ROAD,PENN,HIGH WYCOMBE,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,B,A
{1061746E-BC3B-3C34-E063-4804A8C0F9E7},765000,2023-10-20,HP9 1NN,S,N,F,3,,BURKES PARADE,,BEACONSFIELD,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,B,A
{1061746E-BC4C-3C34-E063-4804A8C0F9E7},476315,2023-11-03,HP17 8DH,D,N,F,10A,,BRIDENS WAY,HADDENHAM,AYLESBURY,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,B,A
{1061746E-BC77-3C34-E063-4804A8C0F9E7},330000,2023-06-08,HP18 0WE,S,N,F,5,,MARTLET WAY,,AYLESBURY,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,B,A
{1061746E-BC84-3C34-E063-4804A8C0F9E7},70000,2023-10-27,HP21 8AG,O,N,L,79,,MANDEVILLE ROAD,,AYLESBURY,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,B,A
